database_name,table_name,column_name,data_type,max_length,is_nullable,column_key,extra
instamark,attendance_attendance,date,date,,NO,,
instamark,attendance_attendance,department_id,int,,YES,,
instamark,attendance_attendance,id,bigint,,NO,PRI,auto_increment
instamark,attendance_attendance,status,varchar,20,NO,,
instamark,attendance_attendance,user_profile_id,int,,YES,,
instamark,auth_group,id,int,,NO,PRI,auto_increment
instamark,auth_group,name,varchar,150,NO,UNI,
instamark,auth_group_permissions,group_id,int,,NO,MUL,
instamark,auth_group_permissions,id,bigint,,NO,PRI,auto_increment
instamark,auth_group_permissions,permission_id,int,,NO,MUL,
instamark,auth_permission,codename,varchar,100,NO,,
instamark,auth_permission,content_type_id,int,,NO,MUL,
instamark,auth_permission,id,int,,NO,PRI,auto_increment
instamark,auth_permission,name,varchar,255,NO,,
instamark,auth_user,date_joined,datetime,,NO,,
instamark,auth_user,email,varchar,254,NO,,
instamark,auth_user,first_name,varchar,150,NO,,
instamark,auth_user,id,int,,NO,PRI,auto_increment
instamark,auth_user,is_active,tinyint,,NO,,
instamark,auth_user,is_staff,tinyint,,NO,,
instamark,auth_user,is_superuser,tinyint,,NO,,
instamark,auth_user,last_login,datetime,,YES,,
instamark,auth_user,last_name,varchar,150,NO,,
instamark,auth_user,password,varchar,128,NO,,
instamark,auth_user,username,varchar,150,NO,UNI,
instamark,auth_user_groups,group_id,int,,NO,MUL,
instamark,auth_user_groups,id,bigint,,NO,PRI,auto_increment
instamark,auth_user_groups,user_id,int,,NO,MUL,
instamark,auth_user_user_permissions,id,bigint,,NO,PRI,auto_increment
instamark,auth_user_user_permissions,permission_id,int,,NO,MUL,
instamark,auth_user_user_permissions,user_id,int,,NO,MUL,
instamark,django_admin_log,action_flag,smallint,,NO,,
instamark,django_admin_log,action_time,datetime,,NO,,
instamark,django_admin_log,change_message,longtext,4294967295,NO,,
instamark,django_admin_log,content_type_id,int,,YES,MUL,
instamark,django_admin_log,id,int,,NO,PRI,auto_increment
instamark,django_admin_log,object_id,longtext,4294967295,YES,,
instamark,django_admin_log,object_repr,varchar,200,NO,,
instamark,django_admin_log,user_id,int,,NO,MUL,
instamark,django_content_type,app_label,varchar,100,NO,MUL,
instamark,django_content_type,id,int,,NO,PRI,auto_increment
instamark,django_content_type,model,varchar,100,NO,,
instamark,django_migrations,app,varchar,255,NO,,
instamark,django_migrations,applied,datetime,,NO,,
instamark,django_migrations,id,bigint,,NO,PRI,auto_increment
instamark,django_migrations,name,varchar,255,NO,,
instamark,django_session,expire_date,datetime,,NO,MUL,
instamark,django_session,session_data,longtext,4294967295,NO,,
instamark,django_session,session_key,varchar,40,NO,PRI,
instamark,users_department,id,bigint,,NO,PRI,auto_increment
instamark,users_department,name,varchar,100,NO,UNI,
instamark,users_profile,department_id,bigint,,YES,MUL,
instamark,users_profile,face_embedding,json,,YES,,
instamark,users_profile,id,bigint,,NO,PRI,auto_increment
instamark,users_profile,role,varchar,50,NO,,
instamark,users_profile,user_id,int,,NO,UNI,
